Date,Hour,Price ($/MWh)
2023-09-01,1,22.87
2023-09-01,2,7.09
2023-09-01,3,7.09
2023-09-01,4,7.09
2023-09-01,5,0
2023-09-01,6,24.63
2023-09-01,7,24.54
2023-09-01,8,22.67
2023-09-01,9,6.96
2023-09-01,10,6.96
2023-09-01,11,0
2023-09-01,12,0
2023-09-01,13,0
2023-09-01,14,22.2
2023-09-01,15,7.05
2023-09-01,16,23.11
2023-09-01,17,22.19
2023-09-01,18,24.88
2023-09-01,19,22.76
2023-09-01,20,23.55
2023-09-01,21,23.2
2023-09-01,22,24.05
2023-09-01,23,23.77
2023-09-01,24,24.02
2023-09-02,1,44.07
2023-09-02,2,45.39
2023-09-02,3,0
2023-09-02,4,0
2023-09-02,5,0
2023-09-02,6,46.55
2023-09-02,7,46.09
2023-09-02,8,46.05
2023-09-02,9,46.23
2023-09-02,10,61.53
2023-09-02,11,0
2023-09-02,12,0
2023-09-02,13,0
2023-09-02,14,0
2023-09-02,15,7.04
2023-09-02,16,36.99
2023-09-02,17,35.23
2023-09-02,18,42.35
2023-09-02,19,42.14
2023-09-02,20,43.35
2023-09-02,21,46.62
2023-09-02,22,46.81
2023-09-02,23,47.28
2023-09-02,24,10.41
2023-09-03,1,41.57
2023-09-03,2,7.12
2023-09-03,3,11.18
2023-09-03,4,0
2023-09-03,5,0
2023-09-03,6,0
2023-09-03,7,11.09
2023-09-03,8,10.76
2023-09-03,9,10.57
2023-09-03,10,7.89
2023-09-03,11,7.07
2023-09-03,12,0
2023-09-03,13,0
2023-09-03,14,0
2023-09-03,15,0
2023-09-03,16,7.05
2023-09-03,17,0
2023-09-03,18,10.88
2023-09-03,19,0
2023-09-03,20,11.58
2023-09-03,21,11.19
2023-09-03,22,7.32
2023-09-03,23,7.38
2023-09-03,24,7.08