Hour,Energy Needed,Solar Energy Generated,Hourly Electricity Purchase (MWh),Energy Cost at Hour,Hydrogen Needed,Hydrogen Stored,Hourly Hydrogen Purchase (kg),Hydrogen Cost at Hour,Charge in the Battery at Hour,Total Cost at Hour,Total Cost ($)
1,0.2248754337,0.0,0.2248754337,22.87,32.30329261,0.0,32.30329261,10,0.0,328.175827268719,328.175827268719
2,0.2672795329,0.0,0.7672795329,7.09,10.1367553,0.0,10.136755300000004,10,0.5,106.80756488826104,434.98339215698
3,0.8253362103,0.0,0.32533621030000004,7.09,27.00669761,0.0,66.84953872,10,0.0,670.802020931027,1105.7854130880069
4,0.5007729742,0.0,0.5007729742,7.09,39.84284111,0.0,0.0,10,0.0,3.5504803870779997,1109.335893475085
5,0.2759563726,0.0,0.7759563726,0.0,3.644255073,0.0,18.739312832999985,10,0.5,187.39312832999985,1296.7290218050848
6,0.3711640831,0.0,0.0,24.63,15.09505776,0.0,0.0,10,0.1288359169,0.0,1296.7290218050848
7,0.2956017818,0.003,0.1607658649,24.54,42.9675738,0.0,42.9675738,10,0.0,433.620932324646,1730.3499541297308
8,0.6405470174,0.125,0.3905470174,22.67,35.24897104,0.0,73.80408094,10,0.0,746.8945102844581,2477.2444644141888
9,0.6109089094,0.324,0.0,6.96,38.5551099,0.0,0.0,10,0.0,0.0,2477.2444644141888
10,0.05735963466,0.499,0.0,6.96,42.90871978,0.0,42.90871978000001,10,0.0,429.0871978000001,2906.331662214189
11,0.6514785041,0.628,0.0,0.0,5.366741364,0.0,5.366741363999978,10,0.0,53.66741363999978,2959.9990758541885
12,0.3971872634,0.691,0.0,0.0,47.1422192,0.0,51.16875555399997,10,0.0,511.6875555399997,3471.686631394188
13,0.001022667729,0.708,0.0,0.0,4.026536354,0.0,0.0,10,0.0,0.0,3471.686631394188
14,0.2129325475,0.676,0.0,22.2,42.03747334,0.0,1405.1156444029996,10,0.0,14051.156444029995,17522.843075424185
15,0.1525954113,0.596,0.0,7.05,16.33787658,0.0,0.0,10,0.5,0.0,17522.843075424185
16,0.5615309256,0.478,0.0,23.11,14.19255076,0.0,0.0,10,0.0,0.0,17522.843075424185
17,0.1018807754,0.336,0.0,22.19,21.20413385,0.0,0.0,10,0.5,0.0,17522.843075424185
18,0.2477412876,0.179,0.0,24.88,10.65403029,0.0,0.0,10,0.5,0.0,17522.843075424185
19,0.7896282414,0.045,0.6996282414000001,22.76,32.92121041,0.0,0.0,10,0.5,15.923538774264005,17538.76661419845
20,0.6386982934,0.0,0.13869829339999995,23.55,32.5887665,0.0,0.0,10,0.0,3.2663448095699987,17542.03295900802
21,0.9674386161,0.0,1.4674386161,23.2,10.93067511,0.0,0.0,10,0.5,34.04457589352,17576.07753490154
22,0.8021656578,0.0,0.30216565780000004,24.05,1.124799235,0.0,0.0,10,0.0,7.267084070090001,17583.344618971627
23,0.5705690284,0.0,1.0705690284,23.77,17.56014834,0.0,0.0,10,0.5,25.447425805068,17608.792044776696
24,0.4436933638,0.0,0.4436933638,24.02,13.89371983,0.0,0.0,10,0.5,10.657514598476,17619.44955937517
25,0.5132155918,0.0,0.5132155917999999,44.07,37.29865677,0.0,0.0,10,0.5,22.617411130625996,17642.066970505795
26,0.8406939256,0.0,0.3406939256,45.39,21.94434165,0.0,0.0,10,0.0,15.464097282984,17657.53106778878
27,0.1174517514,0.0,0.1174517514,0.0,2.807680925,0.0,0.0,10,0.0,0.0,17657.53106778878
28,0.06297984072,0.0,0.06297984072,0.0,12.00322256,0.0,0.0,10,0.0,0.0,17657.53106778878
29,0.3038745851,0.0,0.8038745851,0.0,12.48372975,0.0,0.0,10,0.5,0.0,17657.53106778878
30,0.2383313131,0.0,0.0,46.55,3.189553994,0.0,0.0,10,0.2616686869,0.0,17657.53106778878
31,0.632891047,0.003,0.3652223601,46.09,36.0766302,0.0,0.0,10,0.0,16.833098577009,17674.364166365787
32,0.3676099715,0.119,0.12960997150000003,46.05,16.93962092,0.0,0.0,10,0.0,5.968539187575001,17680.332705553363
33,0.2289399126,0.313,0.0,46.23,16.02214234,0.0,0.0,10,0.0,0.0,17680.332705553363
34,0.2568335579,0.488,0.0,61.53,5.280232407,0.0,0.0,10,0.0,0.0,17680.332705553363
35,0.2498921635,0.616,0.0,0.0,35.94161911,0.0,0.0,10,0.0,0.0,17680.332705553363
36,0.9441474916,0.695,0.0,0.0,33.96304499,0.0,0.0,10,0.0,0.0,17680.332705553363
37,0.6001320923,0.726,0.0,0.0,35.65042079,0.0,0.0,10,0.0,0.0,17680.332705553363
38,0.6290575912,0.711,0.0,0.0,41.11593506,0.0,0.0,10,0.0,0.0,17680.332705553363
39,0.01374184978,0.611,0.0,7.04,46.23695089,0.0,0.0,10,0.5,0.0,17680.332705553363
40,0.521540439,0.495,0.0,36.99,38.79773349,0.0,0.0,10,0.5,0.0,17680.332705553363
41,0.9547733056,0.359,0.14303379459999999,35.23,4.843105563,0.0,0.0,10,0.406260489,5.0390805837579995,17685.371786137122
42,0.322260489,0.208,0.0,42.35,48.5047084,0.0,0.0,10,0.5,0.0,17685.371786137122
43,0.2613917345,0.052,0.1573917345,42.14,17.99343059,0.0,0.0,10,0.5,6.63248769183,17692.004273828952
44,0.7152632212,0.0,0.7152632211999999,43.35,23.64782365,0.0,0.0,10,0.5,31.006660639019994,17723.010934467973
45,0.3819447913,0.0,0.38194479130000003,46.62,44.26440811,0.0,0.0,10,0.5,17.806266170406,17740.81720063838
46,0.4349672427,0.0,0.4349672427,46.81,43.20748033,0.0,0.0,10,0.5,20.360816630787,17761.178017269165
47,0.9615970648,0.0,0.46159706479999996,47.28,32.11850166,0.0,0.0,10,0.0,21.824309223744,17783.002326492908
48,0.1844616858,0.0,0.6844616858,10.41,24.11642826,0.0,0.0,10,0.5,7.125246149178,17790.127572642086
49,0.5015535672,0.0,0.0015535671999999945,41.57,10.49225392,0.0,0.0,10,0.0,0.06458178850399977,17790.19215443059
50,0.09706679572,0.0,0.59706679572,7.12,2.892607663,0.0,0.0,10,0.5,4.2511155855264,17794.44327001612
51,0.658175223,0.0,0.15817522299999998,11.18,47.64786039,0.0,0.0,10,0.0,1.7683989931399997,17796.21166900926
52,0.1034987737,0.0,0.1034987737,0.0,44.14379894,0.0,0.0,10,0.0,0.0,17796.21166900926
53,0.3211922378,0.0,0.3211922378,0.0,15.57825382,0.0,0.0,10,0.0,0.0,17796.21166900926
54,0.6890846289,0.0,1.1890846288999999,0.0,28.82828805,0.0,0.0,10,0.5,0.0,17796.21166900926
55,0.01910017912,0.002,0.0,11.09,21.38307564,0.0,0.0,10,0.0,0.0,17796.21166900926
56,0.1862128014,0.117,0.0,10.76,24.64478414,0.0,0.0,10,0.0,0.0,17796.21166900926
57,0.07165294277,0.305,0.0,10.57,5.274714425,0.0,0.0,10,0.0,0.0,17796.21166900926
58,0.1741196095,0.48,0.0,7.89,5.236216333,0.0,0.0,10,0.0,0.0,17796.21166900926
59,0.6357505452,0.613,0.0,7.07,44.7785598,0.0,0.0,10,0.0,0.0,17796.21166900926
60,0.3693637856,0.696,0.0,0.0,31.65280787,0.0,0.0,10,0.0,0.0,17796.21166900926
61,0.7791822565,0.732,0.0,0.0,22.08987284,0.0,0.0,10,0.0,0.0,17796.21166900926
62,0.844721818,0.724,0.0,0.0,25.88811259,0.0,0.0,10,0.0,0.0,17796.21166900926
63,0.6394802687,0.669,0.0,0.0,33.05255183,0.0,0.0,10,0.5,0.0,17796.21166900926
64,0.6611581616,0.566,0.0,7.05,21.46697999,0.0,0.0,10,0.0,0.0,17796.21166900926
65,0.7710409419,0.418,0.4350409419000001,0.0,31.72515621,0.0,0.0,10,0.5,0.0,17796.21166900926
66,0.3270265864,0.233,0.0,10.88,33.74741522,0.0,0.0,10,0.0,0.0,17796.21166900926
67,0.9067829169,0.053,1.3007829169,0.0,29.67061724,0.0,0.0,10,0.5,0.0,17796.21166900926
68,0.5914053733,0.0,0.09140537329999998,11.58,23.55095297,0.0,0.0,10,0.0,1.0584742228139998,17797.270143232072
69,0.5306586696,0.0,0.5306586696,11.19,7.903276907,0.0,0.0,10,0.0,5.938070512823999,17803.208213744896
70,0.2557500357,0.0,0.3654216784,7.32,22.24164355,0.0,0.0,10,0.1096716427,2.674886685888,17805.883100430783
71,0.1096716427,0.0,0.0,7.38,6.586484521,0.0,0.0,10,0.0,0.0,17805.883100430783
72,0.1617748104,0.0,0.1617748104,7.08,16.74657289,0.0,0.0,10,0.0,1.145365657632,17807.028466088414
