Hour,Energy Needed,Solar Energy Generated,Energy Cost at Hour,Hydrogen Needed,Hydrogen Cost at Hour,Energy Purchased,Hydrogen Purchased,Total Cost at Hour,Total Cost ($),Charge in the Battery at Hour
1,0.2248754337,0.0,22.87,32.30329261,10,0.2248754337,32.30329261,328.175827268719,328.175827268719,0.0
2,0.2672795329,0.0,7.09,10.1367553,10,0.2672795329,76.98629402,771.757952088261,1099.93377935698,0.0
3,0.8253362103,0.0,7.09,27.00669761,10,0.8253362103,0.0,5.851633731027,1105.785413088007,0.0
4,0.5007729742,0.0,7.09,39.84284111,10,0.5007729742,0.0,3.5504803870779997,1109.3358934750852,0.0
5,0.2759563726,0.0,0.0,3.644255073,10,0.7759563726,18.739312832999985,187.39312832999985,1296.729021805085,0.5
6,0.3711640831,0.0,24.63,15.09505776,10,0.0,0.0,0.0,1296.729021805085,0.1288359169
7,0.2956017818,0.006,24.54,42.9675738,10,0.1607658649,42.9675738,433.620932324646,1730.349954129731,0.0
8,0.6405470174,0.25,22.67,35.24897104,10,0.3905470174,73.80408094,746.8945102844581,2477.244464414189,0.0
9,0.6109089094,0.648,6.96,38.5551099,10,0.0,0.0,0.0,2477.244464414189,0.0
10,0.05735963466,0.998,6.96,42.90871978,10,0.0,42.90871978000001,429.0871978000001,2906.3316622141892,0.0
11,0.6514785041,1.256,0.0,5.366741364,10,0.0,5.366741363999978,53.66741363999978,2959.999075854189,0.0
12,0.3971872634,1.382,0.0,47.1422192,10,0.0,51.16875555399997,511.6875555399997,3471.6866313941887,0.0
13,0.001022667729,1.416,0.0,4.026536354,10,0.0,0.0,0.0,3471.6866313941887,0.0
14,0.2129325475,1.352,22.2,42.03747334,10,0.0,1405.1156444029996,14051.156444029995,17522.843075424185,0.0
15,0.1525954113,1.192,7.05,16.33787658,10,0.0,0.0,0.0,17522.843075424185,0.5
16,0.5615309256,0.956,23.11,14.19255076,10,0.0,0.0,0.0,17522.843075424185,0.0
17,0.1018807754,0.672,22.19,21.20413385,10,0.0,0.0,0.0,17522.843075424185,0.5
18,0.2477412876,0.358,24.88,10.65403029,10,0.0,0.0,0.0,17522.843075424185,0.5
19,0.7896282414,0.09,22.76,32.92121041,10,0.6996282414000001,0.0,15.923538774264005,17538.76661419845,0.5
20,0.6386982934,0.0,23.55,32.5887665,10,0.13869829339999995,0.0,3.2663448095699987,17542.03295900802,0.0
21,0.9674386161,0.0,23.2,10.93067511,10,1.4674386161,0.0,34.04457589352,17576.07753490154,0.5
22,0.8021656578,0.0,24.05,1.124799235,10,0.30216565780000004,0.0,7.267084070090001,17583.344618971627,0.0
23,0.5705690284,0.0,23.77,17.56014834,10,1.0705690284,0.0,25.447425805068,17608.792044776696,0.5
24,0.4436933638,0.0,24.02,13.89371983,10,0.4436933638,0.0,10.657514598476,17619.44955937517,0.5
25,0.5132155918,0.0,44.07,37.29865677,10,0.5132155917999999,0.0,22.617411130625996,17642.066970505795,0.5
26,0.8406939256,0.0,45.39,21.94434165,10,0.3406939256,0.0,15.464097282984,17657.53106778878,0.0
27,0.1174517514,0.0,0.0,2.807680925,10,0.1174517514,0.0,0.0,17657.53106778878,0.0
28,0.06297984072,0.0,0.0,12.00322256,10,0.06297984072,0.0,0.0,17657.53106778878,0.0
29,0.3038745851,0.0,0.0,12.48372975,10,0.8038745851,0.0,0.0,17657.53106778878,0.5
30,0.2383313131,0.0,46.55,3.189553994,10,0.0,0.0,0.0,17657.53106778878,0.2616686869
31,0.632891047,0.006,46.09,36.0766302,10,0.3652223601,0.0,16.833098577009,17674.364166365787,0.0
32,0.3676099715,0.238,46.05,16.93962092,10,0.12960997150000003,0.0,5.968539187575001,17680.332705553363,0.0
33,0.2289399126,0.626,46.23,16.02214234,10,0.0,0.0,0.0,17680.332705553363,0.0
34,0.2568335579,0.976,61.53,5.280232407,10,0.0,0.0,0.0,17680.332705553363,0.0
35,0.2498921635,1.232,0.0,35.94161911,10,0.0,0.0,0.0,17680.332705553363,0.0
36,0.9441474916,1.39,0.0,33.96304499,10,0.0,0.0,0.0,17680.332705553363,0.0
37,0.6001320923,1.452,0.0,35.65042079,10,0.0,0.0,0.0,17680.332705553363,0.0
38,0.6290575912,1.422,0.0,41.11593506,10,0.0,0.0,0.0,17680.332705553363,0.0
39,0.01374184978,1.222,7.04,46.23695089,10,0.0,0.0,0.0,17680.332705553363,0.5
40,0.521540439,0.99,36.99,38.79773349,10,0.0,0.0,0.0,17680.332705553363,0.5
41,0.9547733056,0.718,35.23,4.843105563,10,0.14303379459999999,0.0,5.0390805837579995,17685.371786137122,0.406260489
42,0.322260489,0.416,42.35,48.5047084,10,0.0,0.0,0.0,17685.371786137122,0.5
43,0.2613917345,0.104,42.14,17.99343059,10,0.1573917345,0.0,6.63248769183,17692.004273828952,0.5
44,0.7152632212,0.0,43.35,23.64782365,10,0.7152632211999999,0.0,31.006660639019994,17723.010934467973,0.5
45,0.3819447913,0.0,46.62,44.26440811,10,0.38194479130000003,0.0,17.806266170406,17740.81720063838,0.5
46,0.4349672427,0.0,46.81,43.20748033,10,0.4349672427,0.0,20.360816630787,17761.178017269165,0.5
47,0.9615970648,0.0,47.28,32.11850166,10,0.46159706479999996,0.0,21.824309223744,17783.002326492908,0.0
48,0.1844616858,0.0,10.41,24.11642826,10,0.6844616858,0.0,7.125246149178,17790.127572642086,0.5
49,0.5015535672,0.0,41.57,10.49225392,10,0.0015535671999999945,0.0,0.06458178850399977,17790.19215443059,0.0
50,0.09706679572,0.0,7.12,2.892607663,10,0.59706679572,0.0,4.2511155855264,17794.44327001612,0.5
51,0.658175223,0.0,11.18,47.64786039,10,0.15817522299999998,0.0,1.7683989931399997,17796.21166900926,0.0
52,0.1034987737,0.0,0.0,44.14379894,10,0.1034987737,0.0,0.0,17796.21166900926,0.0
53,0.3211922378,0.0,0.0,15.57825382,10,0.3211922378,0.0,0.0,17796.21166900926,0.0
54,0.6890846289,0.0,0.0,28.82828805,10,1.1890846288999999,0.0,0.0,17796.21166900926,0.5
55,0.01910017912,0.004,11.09,21.38307564,10,0.0,0.0,0.0,17796.21166900926,0.0
56,0.1862128014,0.234,10.76,24.64478414,10,0.0,0.0,0.0,17796.21166900926,0.0
57,0.07165294277,0.61,10.57,5.274714425,10,0.0,0.0,0.0,17796.21166900926,0.0
58,0.1741196095,0.96,7.89,5.236216333,10,0.0,0.0,0.0,17796.21166900926,0.0
59,0.6357505452,1.226,7.07,44.7785598,10,0.0,0.0,0.0,17796.21166900926,0.0
60,0.3693637856,1.392,0.0,31.65280787,10,0.0,0.0,0.0,17796.21166900926,0.0
61,0.7791822565,1.464,0.0,22.08987284,10,0.0,0.0,0.0,17796.21166900926,0.0
62,0.844721818,1.448,0.0,25.88811259,10,0.0,0.0,0.0,17796.21166900926,0.0
63,0.6394802687,1.338,0.0,33.05255183,10,0.0,0.0,0.0,17796.21166900926,0.5
64,0.6611581616,1.132,7.05,21.46697999,10,0.0,0.0,0.0,17796.21166900926,0.0
65,0.7710409419,0.836,0.0,31.72515621,10,0.4350409419000001,0.0,0.0,17796.21166900926,0.5
66,0.3270265864,0.466,10.88,33.74741522,10,0.0,0.0,0.0,17796.21166900926,0.0
67,0.9067829169,0.106,0.0,29.67061724,10,1.3007829169,0.0,0.0,17796.21166900926,0.5
68,0.5914053733,0.0,11.58,23.55095297,10,0.09140537329999998,0.0,1.0584742228139998,17797.270143232072,0.0
69,0.5306586696,0.0,11.19,7.903276907,10,0.5306586696,0.0,5.938070512823999,17803.208213744896,0.0
70,0.2557500357,0.0,7.32,22.24164355,10,0.3654216784,0.0,2.674886685888,17805.883100430783,0.1096716427
71,0.1096716427,0.0,7.38,6.586484521,10,0.0,0.0,0.0,17805.883100430783,0.0
72,0.1617748104,0.0,7.08,16.74657289,10,0.1617748104,0.0,1.145365657632,17807.028466088414,0.0
